Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;University Library Freiburg;/wiki/University_Library_Freiburg
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;Heidelberg University;/wiki/Heidelberg_University
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;University;/wiki/University
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;University of Greifswald;/wiki/University_of_Greifswald
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;University of Cologne;/wiki/University_of_Cologne
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;University of Erfurt;/wiki/University_of_Erfurt
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;University of Ingolstadt;/wiki/University_of_Ingolstadt
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;University of Mainz;/wiki/University_of_Mainz
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;University of Würzburg;/wiki/University_of_W%C3%BCrzburg
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;Leipzig University;/wiki/Leipzig_University
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;University of Rostock;/wiki/University_of_Rostock
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;University of Freiburg;/wiki/University_of_Freiburg
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;University of Munich;/wiki/University_of_Munich
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;University of Tübingen;/wiki/University_of_T%C3%BCbingen
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;University of Halle-Wittenberg;/wiki/University_of_Halle-Wittenberg
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;University of Marburg;/wiki/University_of_Marburg
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;University of Jena;/wiki/University_of_Jena
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;University of Bamberg;/wiki/University_of_Bamberg
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;University of Bayreuth;/wiki/University_of_Bayreuth
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;Berlin International University of Applied Sciences;/wiki/Berlin_International_University_of_Applied_Sciences
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;Berlin University of the Arts;/wiki/Berlin_University_of_the_Arts
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;Free University of Berlin;/wiki/Free_University_of_Berlin
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;Humboldt University of Berlin;/wiki/Humboldt_University_of_Berlin
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;Technical University of Berlin;/wiki/Technical_University_of_Berlin
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;University of Bielefeld;/wiki/University_of_Bielefeld
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;Ruhr University Bochum;/wiki/Ruhr_University_Bochum
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;University of Bonn;/wiki/University_of_Bonn
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;Brandenburg University of Technology;/wiki/Brandenburg_University_of_Technology
