Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;Heidelberg University;/wiki/Heidelberg_University
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;Leipzig University;/wiki/Leipzig_University
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;University of Rostock;/wiki/University_of_Rostock
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;University of Greifswald;/wiki/University_of_Greifswald
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;University of Freiburg;/wiki/University_of_Freiburg
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;University of Munich;/wiki/University_of_Munich
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;University of Tübingen;/wiki/University_of_T%C3%BCbingen
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;University of Halle-Wittenberg;/wiki/University_of_Halle-Wittenberg
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;University of Marburg;/wiki/University_of_Marburg
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;University of Jena;/wiki/University_of_Jena
